[Reboot Required] 127-0-0-1 (centos7.9.2009)
============================================
Total: 98 (High:14 Medium:64 Low:20 ?:0), 0/98 Fixed, 23 poc, 0 exploits, en: 7, ja: 0 alerts
527 installed, 0 updatable

+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
| CVE-2019-17006   | 10.0 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17006   |
| CVE-2019-11756   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11756   |
| CVE-2019-13734   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13734   |
| CVE-2020-10531   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-10531   |
| CVE-2020-12321   |  8.8 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-12321   |
| CVE-2020-10878   |  8.6 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-10878   |
| CVE-2020-15999   |  8.6 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15999   |
| CVE-2020-14352   |  8.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-14352   |
| CVE-2020-10543   |  8.2 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-10543   |
| CVE-2020-10713   |  8.2 |  AV:L  |     | USCERT | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-10713   |
| CVE-2020-28374   |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-28374   |
| CVE-2017-1000253 |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-1000253 |
| CVE-2018-20976   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20976   |
| CVE-2019-18397   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-18397   |
| CVE-2020-14351   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-14351   |
| CVE-2020-14363   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-14363   |
| CVE-2020-27786   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-27786   |
| CVE-2020-29661   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-29661   |
| CVE-2014-4043    |  7.5 |  AV:L  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-4043    |
| CVE-2015-2059    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-2059    |
| CVE-2015-3308    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-3308    |
| CVE-2018-12020   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12020   |
| CVE-2019-11719   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11719   |
| CVE-2020-11008   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-11008   |
| CVE-2020-12723   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-12723   |
| CVE-2020-25643   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-25643   |
| CVE-2020-25645   |  7.5 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-25645   |
| CVE-2020-25648   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-25648   |
| CVE-2020-25692   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-25692   |
| CVE-2020-29361   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-29361   |
| CVE-2020-29573   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-29573   |
| CVE-2020-8623    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-8623    |
| CVE-2020-25705   |  7.4 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-25705   |
| CVE-2020-12464   |  7.2 |  AV:L  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-12464   |
| CVE-2020-15436   |  7.2 |  AV:L  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15436   |
| CVE-2020-27777   |  7.2 |  AV:L  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-27777   |
| CVE-2019-25013   |  7.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-25013   |
| CVE-2020-12825   |  7.1 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-12825   |
| CVE-2020-24394   |  7.1 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-24394   |
| CVE-2020-8177    |  7.1 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-8177    |
| CVE-2020-8648    |  7.1 |  AV:L  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-8648    |
| CVE-2020-25212   |  7.0 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-25212   |
| CVE-2015-0247    |  6.9 |  AV:L  |     | USCERT | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-0247    |
